DIAGNOSIS_CD,DIAGNOSIS_CD_TYPE,n,subCat
S62256A,ICD10,1,Injuries to the wrist and hand
S62291D,ICD10,1,Injuries to the wrist and hand
S62300B,ICD10,1,Injuries to the wrist and hand
S62300S,ICD10,1,Injuries to the wrist and hand
S62304G,ICD10,1,Injuries to the wrist and hand
S62306P,ICD10,1,Injuries to the wrist and hand
S62307G,ICD10,1,Injuries to the wrist and hand
S62309G,ICD10,1,Injuries to the wrist and hand
S62312D,ICD10,1,Injuries to the wrist and hand
S62312K,ICD10,1,Injuries to the wrist and hand
S62312S,ICD10,1,Injuries to the wrist and hand
S62313B,ICD10,1,Injuries to the wrist and hand
S62314B,ICD10,1,Injuries to the wrist and hand
S62314G,ICD10,1,Injuries to the wrist and hand
S62314K,ICD10,1,Injuries to the wrist and hand
S62314S,ICD10,1,Injuries to the wrist and hand
S62315G,ICD10,1,Injuries to the wrist and hand
S62316B,ICD10,1,Injuries to the wrist and hand
S62316G,ICD10,1,Injuries to the wrist and hand
S62316S,ICD10,1,Injuries to the wrist and hand
S62320B,ICD10,1,Injuries to the wrist and hand
S62320S,ICD10,1,Injuries to the wrist and hand
S62322B,ICD10,1,Injuries to the wrist and hand
S62322S,ICD10,1,Injuries to the wrist and hand
S62323S,ICD10,1,Injuries to the wrist and hand
S62324K,ICD10,1,Injuries to the wrist and hand
S62325B,ICD10,1,Injuries to the wrist and hand
S62326P,ICD10,1,Injuries to the wrist and hand
S62327B,ICD10,1,Injuries to the wrist and hand
S62328D,ICD10,1,Injuries to the wrist and hand
S62329B,ICD10,1,Injuries to the wrist and hand
S62329G,ICD10,1,Injuries to the wrist and hand
S62329K,ICD10,1,Injuries to the wrist and hand
S62329S,ICD10,1,Injuries to the wrist and hand
S62331B,ICD10,1,Injuries to the wrist and hand
S62332B,ICD10,1,Injuries to the wrist and hand
S62333G,ICD10,1,Injuries to the wrist and hand
S62335B,ICD10,1,Injuries to the wrist and hand
S62335G,ICD10,1,Injuries to the wrist and hand
S62335K,ICD10,1,Injuries to the wrist and hand
S62335P,ICD10,1,Injuries to the wrist and hand
S62336B,ICD10,1,Injuries to the wrist and hand
S62336G,ICD10,1,Injuries to the wrist and hand
S62337B,ICD10,1,Injuries to the wrist and hand
S62337G,ICD10,1,Injuries to the wrist and hand
S62337K,ICD10,1,Injuries to the wrist and hand
S62337P,ICD10,1,Injuries to the wrist and hand
S62337S,ICD10,1,Injuries to the wrist and hand
S62341P,ICD10,1,Injuries to the wrist and hand
S62342G,ICD10,1,Injuries to the wrist and hand
S62343B,ICD10,1,Injuries to the wrist and hand
S62345B,ICD10,1,Injuries to the wrist and hand
S62346B,ICD10,1,Injuries to the wrist and hand
S62347S,ICD10,1,Injuries to the wrist and hand
S62348A,ICD10,1,Injuries to the wrist and hand
S62348D,ICD10,1,Injuries to the wrist and hand
S62349D,ICD10,1,Injuries to the wrist and hand
S62351D,ICD10,1,Injuries to the wrist and hand
S62351K,ICD10,1,Injuries to the wrist and hand
S62352B,ICD10,1,Injuries to the wrist and hand
S62354B,ICD10,1,Injuries to the wrist and hand
S62354S,ICD10,1,Injuries to the wrist and hand
S62356G,ICD10,1,Injuries to the wrist and hand
S62356K,ICD10,1,Injuries to the wrist and hand
S62357S,ICD10,1,Injuries to the wrist and hand
S62358A,ICD10,1,Injuries to the wrist and hand
S62358D,ICD10,1,Injuries to the wrist and hand
S62361B,ICD10,1,Injuries to the wrist and hand
S62362D,ICD10,1,Injuries to the wrist and hand
S62363A,ICD10,1,Injuries to the wrist and hand
S62365D,ICD10,1,Injuries to the wrist and hand
S62365K,ICD10,1,Injuries to the wrist and hand
S62366P,ICD10,1,Injuries to the wrist and hand
S62368A,ICD10,1,Injuries to the wrist and hand
S62368S,ICD10,1,Injuries to the wrist and hand
S62390S,ICD10,1,Injuries to the wrist and hand
S62392D,ICD10,1,Injuries to the wrist and hand
S62392S,ICD10,1,Injuries to the wrist and hand
S62394G,ICD10,1,Injuries to the wrist and hand
S62394K,ICD10,1,Injuries to the wrist and hand
S62394S,ICD10,1,Injuries to the wrist and hand
S62395B,ICD10,1,Injuries to the wrist and hand
S62396S,ICD10,1,Injuries to the wrist and hand
S62397K,ICD10,1,Injuries to the wrist and hand
S62398S,ICD10,1,Injuries to the wrist and hand
S62399A,ICD10,1,Injuries to the wrist and hand
S62501K,ICD10,1,Injuries to the wrist and hand
S62501S,ICD10,1,Injuries to the wrist and hand
S62509S,ICD10,1,Injuries to the wrist and hand
S62512,ICD10,1,Injuries to the wrist and hand
S62512K,ICD10,1,Injuries to the wrist and hand
S62512S,ICD10,1,Injuries to the wrist and hand
S62513D,ICD10,1,Injuries to the wrist and hand
S62516S,ICD10,1,Injuries to the wrist and hand
S62521G,ICD10,1,Injuries to the wrist and hand
S62521K,ICD10,1,Injuries to the wrist and hand
S62521S,ICD10,1,Injuries to the wrist and hand
S62522G,ICD10,1,Injuries to the wrist and hand
S62523D,ICD10,1,Injuries to the wrist and hand
S62524G,ICD10,1,Injuries to the wrist and hand
S62524P,ICD10,1,Injuries to the wrist and hand
S62525G,ICD10,1,Injuries to the wrist and hand
S62525K,ICD10,1,Injuries to the wrist and hand
S62525S,ICD10,1,Injuries to the wrist and hand
S62526D,ICD10,1,Injuries to the wrist and hand
S62526P,ICD10,1,Injuries to the wrist and hand
S62526S,ICD10,1,Injuries to the wrist and hand
S62600G,ICD10,1,Injuries to the wrist and hand
S62601S,ICD10,1,Injuries to the wrist and hand
S62602S,ICD10,1,Injuries to the wrist and hand
S62603G,ICD10,1,Injuries to the wrist and hand
S62603P,ICD10,1,Injuries to the wrist and hand
S62603S,ICD10,1,Injuries to the wrist and hand
S62604B,ICD10,1,Injuries to the wrist and hand
S62605G,ICD10,1,Injuries to the wrist and hand
S62605K,ICD10,1,Injuries to the wrist and hand
S62605P,ICD10,1,Injuries to the wrist and hand
S62605S,ICD10,1,Injuries to the wrist and hand
S62606G,ICD10,1,Injuries to the wrist and hand
S62607P,ICD10,1,Injuries to the wrist and hand
S62610P,ICD10,1,Injuries to the wrist and hand
S62611K,ICD10,1,Injuries to the wrist and hand
S62611P,ICD10,1,Injuries to the wrist and hand
S62613K,ICD10,1,Injuries to the wrist and hand
S62614K,ICD10,1,Injuries to the wrist and hand
S62615G,ICD10,1,Injuries to the wrist and hand
S62615K,ICD10,1,Injuries to the wrist and hand
S62615S,ICD10,1,Injuries to the wrist and hand
S62616G,ICD10,1,Injuries to the wrist and hand
S62616K,ICD10,1,Injuries to the wrist and hand
S62617K,ICD10,1,Injuries to the wrist and hand
S62618B,ICD10,1,Injuries to the wrist and hand
S62618P,ICD10,1,Injuries to the wrist and hand
S62618S,ICD10,1,Injuries to the wrist and hand
S62619G,ICD10,1,Injuries to the wrist and hand
S62620G,ICD10,1,Injuries to the wrist and hand
S62621B,ICD10,1,Injuries to the wrist and hand
S62621G,ICD10,1,Injuries to the wrist and hand
S62621K,ICD10,1,Injuries to the wrist and hand
S62622G,ICD10,1,Injuries to the wrist and hand
S62622P,ICD10,1,Injuries to the wrist and hand
S62622S,ICD10,1,Injuries to the wrist and hand
S62623G,ICD10,1,Injuries to the wrist and hand
S62624G,ICD10,1,Injuries to the wrist and hand
S62624S,ICD10,1,Injuries to the wrist and hand
S62625P,ICD10,1,Injuries to the wrist and hand
S62626G,ICD10,1,Injuries to the wrist and hand
S62626P,ICD10,1,Injuries to the wrist and hand
S62627K,ICD10,1,Injuries to the wrist and hand
S62627P,ICD10,1,Injuries to the wrist and hand
S62628G,ICD10,1,Injuries to the wrist and hand
S62629G,ICD10,1,Injuries to the wrist and hand
S62629P,ICD10,1,Injuries to the wrist and hand
S62629S,ICD10,1,Injuries to the wrist and hand
S62630G,ICD10,1,Injuries to the wrist and hand
S62631P,ICD10,1,Injuries to the wrist and hand
S62632G,ICD10,1,Injuries to the wrist and hand
S62632P,ICD10,1,Injuries to the wrist and hand
S62634G,ICD10,1,Injuries to the wrist and hand
S62636G,ICD10,1,Injuries to the wrist and hand
S62636S,ICD10,1,Injuries to the wrist and hand
S62637G,ICD10,1,Injuries to the wrist and hand
S62640G,ICD10,1,Injuries to the wrist and hand
S62641S,ICD10,1,Injuries to the wrist and hand
S62645S,ICD10,1,Injuries to the wrist and hand
S62647P,ICD10,1,Injuries to the wrist and hand
S62648A,ICD10,1,Injuries to the wrist and hand
S62651G,ICD10,1,Injuries to the wrist and hand
S62652K,ICD10,1,Injuries to the wrist and hand
S62654B,ICD10,1,Injuries to the wrist and hand
S62655B,ICD10,1,Injuries to the wrist and hand
S62656G,ICD10,1,Injuries to the wrist and hand
S62657B,ICD10,1,Injuries to the wrist and hand
S62657G,ICD10,1,Injuries to the wrist and hand
S62657K,ICD10,1,Injuries to the wrist and hand
S62658D,ICD10,1,Injuries to the wrist and hand
S62659S,ICD10,1,Injuries to the wrist and hand
S62661G,ICD10,1,Injuries to the wrist and hand
S62663G,ICD10,1,Injuries to the wrist and hand
S62663S,ICD10,1,Injuries to the wrist and hand
S62664G,ICD10,1,Injuries to the wrist and hand
S62664K,ICD10,1,Injuries to the wrist and hand
S62664S,ICD10,1,Injuries to the wrist and hand
S62665G,ICD10,1,Injuries to the wrist and hand
S62665K,ICD10,1,Injuries to the wrist and hand
S62667G,ICD10,1,Injuries to the wrist and hand
S62667S,ICD10,1,Injuries to the wrist and hand
S62669D,ICD10,1,Injuries to the wrist and hand
S62669S,ICD10,1,Injuries to the wrist and hand
S6290XB,ICD10,1,Injuries to the wrist and hand
S6290XG,ICD10,1,Injuries to the wrist and hand
S6290XK,ICD10,1,Injuries to the wrist and hand
S6291XP,ICD10,1,Injuries to the wrist and hand
S6292,ICD10,1,Injuries to the wrist and hand
S6292XK,ICD10,1,Injuries to the wrist and hand
S63001D,ICD10,1,Injuries to the wrist and hand
S63002A,ICD10,1,Injuries to the wrist and hand
S63003A,ICD10,1,Injuries to the wrist and hand
S63005S,ICD10,1,Injuries to the wrist and hand
S63011S,ICD10,1,Injuries to the wrist and hand
S63014S,ICD10,1,Injuries to the wrist and hand
S63022A,ICD10,1,Injuries to the wrist and hand
S63024A,ICD10,1,Injuries to the wrist and hand
S63025D,ICD10,1,Injuries to the wrist and hand
S63031A,ICD10,1,Injuries to the wrist and hand
S63032D,ICD10,1,Injuries to the wrist and hand
S63034S,ICD10,1,Injuries to the wrist and hand
S63035A,ICD10,1,Injuries to the wrist and hand
S63041D,ICD10,1,Injuries to the wrist and hand
S63045A,ICD10,1,Injuries to the wrist and hand
S63054S,ICD10,1,Injuries to the wrist and hand
S63056D,ICD10,1,Injuries to the wrist and hand
S63061A,ICD10,1,Injuries to the wrist and hand
S63065D,ICD10,1,Injuries to the wrist and hand
S63066A,ICD10,1,Injuries to the wrist and hand
S63071S,ICD10,1,Injuries to the wrist and hand
S63073A,ICD10,1,Injuries to the wrist and hand
S63091D,ICD10,1,Injuries to the wrist and hand
S63093A,ICD10,1,Injuries to the wrist and hand
S63094S,ICD10,1,Injuries to the wrist and hand
S63095S,ICD10,1,Injuries to the wrist and hand
S63103A,ICD10,1,Injuries to the wrist and hand
S63111D,ICD10,1,Injuries to the wrist and hand
S63114D,ICD10,1,Injuries to the wrist and hand
S63124D,ICD10,1,Injuries to the wrist and hand
S63125D,ICD10,1,Injuries to the wrist and hand
S63144A,ICD10,1,Injuries to the wrist and hand
S63205A,ICD10,1,Injuries to the wrist and hand
S63207A,ICD10,1,Injuries to the wrist and hand
S63209D,ICD10,1,Injuries to the wrist and hand
S63213A,ICD10,1,Injuries to the wrist and hand
S63215A,ICD10,1,Injuries to the wrist and hand
S63216A,ICD10,1,Injuries to the wrist and hand
S63217A,ICD10,1,Injuries to the wrist and hand
S63219A,ICD10,1,Injuries to the wrist and hand
S63219D,ICD10,1,Injuries to the wrist and hand
S63221A,ICD10,1,Injuries to the wrist and hand
S63233A,ICD10,1,Injuries to the wrist and hand
S63234A,ICD10,1,Injuries to the wrist and hand
S63235D,ICD10,1,Injuries to the wrist and hand
S63237A,ICD10,1,Injuries to the wrist and hand
S63237S,ICD10,1,Injuries to the wrist and hand
S63240A,ICD10,1,Injuries to the wrist and hand
S63243A,ICD10,1,Injuries to the wrist and hand
S63246A,ICD10,1,Injuries to the wrist and hand
S63249A,ICD10,1,Injuries to the wrist and hand
S63253D,ICD10,1,Injuries to the wrist and hand
S63254D,ICD10,1,Injuries to the wrist and hand
S63255D,ICD10,1,Injuries to the wrist and hand
S63255S,ICD10,1,Injuries to the wrist and hand
S63256D,ICD10,1,Injuries to the wrist and hand
S63258S,ICD10,1,Injuries to the wrist and hand
S63261A,ICD10,1,Injuries to the wrist and hand
S63263A,ICD10,1,Injuries to the wrist and hand
S63265D,ICD10,1,Injuries to the wrist and hand
S63272D,ICD10,1,Injuries to the wrist and hand
S63275D,ICD10,1,Injuries to the wrist and hand
S63277D,ICD10,1,Injuries to the wrist and hand
S63281D,ICD10,1,Injuries to the wrist and hand
S63281S,ICD10,1,Injuries to the wrist and hand
S63282D,ICD10,1,Injuries to the wrist and hand
S63282S,ICD10,1,Injuries to the wrist and hand
S63283D,ICD10,1,Injuries to the wrist and hand
S63283S,ICD10,1,Injuries to the wrist and hand
S63284S,ICD10,1,Injuries to the wrist and hand
S63286D,ICD10,1,Injuries to the wrist and hand
S63290A,ICD10,1,Injuries to the wrist and hand
S63291A,ICD10,1,Injuries to the wrist and hand
S63292D,ICD10,1,Injuries to the wrist and hand
S63294A,ICD10,1,Injuries to the wrist and hand
S63295A,ICD10,1,Injuries to the wrist and hand
S63295D,ICD10,1,Injuries to the wrist and hand
S63295S,ICD10,1,Injuries to the wrist and hand
S63297D,ICD10,1,Injuries to the wrist and hand
S63299D,ICD10,1,Injuries to the wrist and hand
S63301A,ICD10,1,Injuries to the wrist and hand
S63309A,ICD10,1,Injuries to the wrist and hand
S63331A,ICD10,1,Injuries to the wrist and hand
S63331D,ICD10,1,Injuries to the wrist and hand
S63331S,ICD10,1,Injuries to the wrist and hand
S63332A,ICD10,1,Injuries to the wrist and hand
S63391,ICD10,1,Injuries to the wrist and hand
S63400A,ICD10,1,Injuries to the wrist and hand
S63400S,ICD10,1,Injuries to the wrist and hand
S63402A,ICD10,1,Injuries to the wrist and hand
S63402D,ICD10,1,Injuries to the wrist and hand
S63403A,ICD10,1,Injuries to the wrist and hand
S63412S,ICD10,1,Injuries to the wrist and hand
S63413D,ICD10,1,Injuries to the wrist and hand
S63417A,ICD10,1,Injuries to the wrist and hand
S63418D,ICD10,1,Injuries to the wrist and hand
S63419A,ICD10,1,Injuries to the wrist and hand
S63430D,ICD10,1,Injuries to the wrist and hand
S63432D,ICD10,1,Injuries to the wrist and hand
S63434A,ICD10,1,Injuries to the wrist and hand
S63435D,ICD10,1,Injuries to the wrist and hand
S63436D,ICD10,1,Injuries to the wrist and hand
S63491A,ICD10,1,Injuries to the wrist and hand
S63511S,ICD10,1,Injuries to the wrist and hand
S63609D,ICD10,1,Injuries to the wrist and hand
S63611S,ICD10,1,Injuries to the wrist and hand
S63613S,ICD10,1,Injuries to the wrist and hand
S63614S,ICD10,1,Injuries to the wrist and hand
S63616S,ICD10,1,Injuries to the wrist and hand
S63617S,ICD10,1,Injuries to the wrist and hand
S63631D,ICD10,1,Injuries to the wrist and hand
S63638A,ICD10,1,Injuries to the wrist and hand
S63649D,ICD10,1,Injuries to the wrist and hand
S63655D,ICD10,1,Injuries to the wrist and hand
S63658A,ICD10,1,Injuries to the wrist and hand
S63658D,ICD10,1,Injuries to the wrist and hand
S63659S,ICD10,1,Injuries to the wrist and hand
S63690D,ICD10,1,Injuries to the wrist and hand
S63691S,ICD10,1,Injuries to the wrist and hand
S63692S,ICD10,1,Injuries to the wrist and hand
S63695D,ICD10,1,Injuries to the wrist and hand
S63698D,ICD10,1,Injuries to the wrist and hand
S638X9D,ICD10,1,Injuries to the wrist and hand
S6390XS,ICD10,1,Injuries to the wrist and hand
S6391XS,ICD10,1,Injuries to the wrist and hand
S6401XS,ICD10,1,Injuries to the wrist and hand
S6411XD,ICD10,1,Injuries to the wrist and hand
S6412XS,ICD10,1,Injuries to the wrist and hand
S6420XA,ICD10,1,Injuries to the wrist and hand
S6422XS,ICD10,1,Injuries to the wrist and hand
S6430XA,ICD10,1,Injuries to the wrist and hand
S6430XD,ICD10,1,Injuries to the wrist and hand
S6430XS,ICD10,1,Injuries to the wrist and hand
S64491S,ICD10,1,Injuries to the wrist and hand
S64492D,ICD10,1,Injuries to the wrist and hand
S64494D,ICD10,1,Injuries to the wrist and hand
S6491XD,ICD10,1,Injuries to the wrist and hand
S6491XS,ICD10,1,Injuries to the wrist and hand
S6492XD,ICD10,1,Injuries to the wrist and hand
S65011A,ICD10,1,Injuries to the wrist and hand
S65012D,ICD10,1,Injuries to the wrist and hand
S65101A,ICD10,1,Injuries to the wrist and hand
S65112D,ICD10,1,Injuries to the wrist and hand
S65201A,ICD10,1,Injuries to the wrist and hand
S65201S,ICD10,1,Injuries to the wrist and hand
S65211S,ICD10,1,Injuries to the wrist and hand
S65212A,ICD10,1,Injuries to the wrist and hand
S65311D,ICD10,1,Injuries to the wrist and hand
S65401S,ICD10,1,Injuries to the wrist and hand
S65411A,ICD10,1,Injuries to the wrist and hand
S65412S,ICD10,1,Injuries to the wrist and hand
S65492A,ICD10,1,Injuries to the wrist and hand
S65500A,ICD10,1,Injuries to the wrist and hand
S6551,ICD10,1,Injuries to the wrist and hand
S65511D,ICD10,1,Injuries to the wrist and hand
S65513D,ICD10,1,Injuries to the wrist and hand
S65514S,ICD10,1,Injuries to the wrist and hand
S65515A,ICD10,1,Injuries to the wrist and hand
S65517A,ICD10,1,Injuries to the wrist and hand
S65809A,ICD10,1,Injuries to the wrist and hand
S65901A,ICD10,1,Injuries to the wrist and hand
S65902A,ICD10,1,Injuries to the wrist and hand
S66011D,ICD10,1,Injuries to the wrist and hand
S66021D,ICD10,1,Injuries to the wrist and hand
S66022A,ICD10,1,Injuries to the wrist and hand
S66091D,ICD10,1,Injuries to the wrist and hand
S66100A,ICD10,1,Injuries to the wrist and hand
S66100D,ICD10,1,Injuries to the wrist and hand
S66101A,ICD10,1,Injuries to the wrist and hand
S66103A,ICD10,1,Injuries to the wrist and hand
S66104A,ICD10,1,Injuries to the wrist and hand
S66104D,ICD10,1,Injuries to the wrist and hand
S66106D,ICD10,1,Injuries to the wrist and hand
S66109D,ICD10,1,Injuries to the wrist and hand
S66112A,ICD10,1,Injuries to the wrist and hand
S66112D,ICD10,1,Injuries to the wrist and hand
S66114D,ICD10,1,Injuries to the wrist and hand
S66119D,ICD10,1,Injuries to the wrist and hand
S66123D,ICD10,1,Injuries to the wrist and hand
S66125D,ICD10,1,Injuries to the wrist and hand
S66125S,ICD10,1,Injuries to the wrist and hand
S66127D,ICD10,1,Injuries to the wrist and hand
S66127S,ICD10,1,Injuries to the wrist and hand
S66129A,ICD10,1,Injuries to the wrist and hand
S66129D,ICD10,1,Injuries to the wrist and hand
S66190A,ICD10,1,Injuries to the wrist and hand
S66192D,ICD10,1,Injuries to the wrist and hand
S66193A,ICD10,1,Injuries to the wrist and hand
S66193D,ICD10,1,Injuries to the wrist and hand
S66197D,ICD10,1,Injuries to the wrist and hand
S66202A,ICD10,1,Injuries to the wrist and hand
S66221D,ICD10,1,Injuries to the wrist and hand
S66229A,ICD10,1,Injuries to the wrist and hand
S66291S,ICD10,1,Injuries to the wrist and hand
S66300A,ICD10,1,Injuries to the wrist and hand
S66300S,ICD10,1,Injuries to the wrist and hand
S66302A,ICD10,1,Injuries to the wrist and hand
S66302S,ICD10,1,Injuries to the wrist and hand
S66304D,ICD10,1,Injuries to the wrist and hand
S66305A,ICD10,1,Injuries to the wrist and hand
S66305D,ICD10,1,Injuries to the wrist and hand
S66310A,ICD10,1,Injuries to the wrist and hand
S66312D,ICD10,1,Injuries to the wrist and hand
S66313D,ICD10,1,Injuries to the wrist and hand
S66315D,ICD10,1,Injuries to the wrist and hand
S66316D,ICD10,1,Injuries to the wrist and hand
S66317D,ICD10,1,Injuries to the wrist and hand
S66317S,ICD10,1,Injuries to the wrist and hand
S66319D,ICD10,1,Injuries to the wrist and hand
S66322S,ICD10,1,Injuries to the wrist and hand
S66323D,ICD10,1,Injuries to the wrist and hand
S66325D,ICD10,1,Injuries to the wrist and hand
S66326D,ICD10,1,Injuries to the wrist and hand
S66328A,ICD10,1,Injuries to the wrist and hand
S66329S,ICD10,1,Injuries to the wrist and hand
S66392A,ICD10,1,Injuries to the wrist and hand
S66392D,ICD10,1,Injuries to the wrist and hand
S66392S,ICD10,1,Injuries to the wrist and hand
S66394A,ICD10,1,Injuries to the wrist and hand
S66394D,ICD10,1,Injuries to the wrist and hand
S66394S,ICD10,1,Injuries to the wrist and hand
S66395S,ICD10,1,Injuries to the wrist and hand
S66396S,ICD10,1,Injuries to the wrist and hand
S66409A,ICD10,1,Injuries to the wrist and hand
S66419A,ICD10,1,Injuries to the wrist and hand
S66507A,ICD10,1,Injuries to the wrist and hand
S66514A,ICD10,1,Injuries to the wrist and hand
S66516A,ICD10,1,Injuries to the wrist and hand
S66523A,ICD10,1,Injuries to the wrist and hand
S66527A,ICD10,1,Injuries to the wrist and hand
S66802S,ICD10,1,Injuries to the wrist and hand
S66811S,ICD10,1,Injuries to the wrist and hand
S66819D,ICD10,1,Injuries to the wrist and hand
S66891D,ICD10,1,Injuries to the wrist and hand
S66892A,ICD10,1,Injuries to the wrist and hand
S66892D,ICD10,1,Injuries to the wrist and hand
S66921S,ICD10,1,Injuries to the wrist and hand
S66991D,ICD10,1,Injuries to the wrist and hand
S66999A,ICD10,1,Injuries to the wrist and hand
S6710XS,ICD10,1,Injuries to the wrist and hand
S67193S,ICD10,1,Injuries to the wrist and hand
S67194S,ICD10,1,Injuries to the wrist and hand
S6731XD,ICD10,1,Injuries to the wrist and hand
S6742XD,ICD10,1,Injuries to the wrist and hand
S6791XA,ICD10,1,Injuries to the wrist and hand
S68011S,ICD10,1,Injuries to the wrist and hand
S68012S,ICD10,1,Injuries to the wrist and hand
S68022D,ICD10,1,Injuries to the wrist and hand
S68022S,ICD10,1,Injuries to the wrist and hand
S68029A,ICD10,1,Injuries to the wrist and hand
S68110D,ICD10,1,Injuries to the wrist and hand
S68114D,ICD10,1,Injuries to the wrist and hand
S68117D,ICD10,1,Injuries to the wrist and hand
S68121S,ICD10,1,Injuries to the wrist and hand
S68122D,ICD10,1,Injuries to the wrist and hand
S68122S,ICD10,1,Injuries to the wrist and hand
S68123S,ICD10,1,Injuries to the wrist and hand
S68125D,ICD10,1,Injuries to the wrist and hand
S68127D,ICD10,1,Injuries to the wrist and hand
S68411A,ICD10,1,Injuries to the wrist and hand
S68419A,ICD10,1,Injuries to the wrist and hand
S68421A,ICD10,1,Injuries to the wrist and hand
S68511D,ICD10,1,Injuries to the wrist and hand
S68512A,ICD10,1,Injuries to the wrist and hand
S68521D,ICD10,1,Injuries to the wrist and hand
S68522D,ICD10,1,Injuries to the wrist and hand
S68610D,ICD10,1,Injuries to the wrist and hand
S68610S,ICD10,1,Injuries to the wrist and hand
S68612A,ICD10,1,Injuries to the wrist and hand
S68615D,ICD10,1,Injuries to the wrist and hand
S68617D,ICD10,1,Injuries to the wrist and hand
S68619A,ICD10,1,Injuries to the wrist and hand
S68623D,ICD10,1,Injuries to the wrist and hand
S68623S,ICD10,1,Injuries to the wrist and hand
S68625D,ICD10,1,Injuries to the wrist and hand
S68626D,ICD10,1,Injuries to the wrist and hand
S68629S,ICD10,1,Injuries to the wrist and hand
S68712A,ICD10,1,Injuries to the wrist and hand
S701,ICD10,1,Injuries to the hip and thigh
S7010XS,ICD10,1,Injuries to the hip and thigh
S70212D,ICD10,1,Injuries to the hip and thigh
S70221A,ICD10,1,Injuries to the hip and thigh
S70222A,ICD10,1,Injuries to the hip and thigh
S70251A,ICD10,1,Injuries to the hip and thigh
S70252A,ICD10,1,Injuries to the hip and thigh
S70261D,ICD10,1,Injuries to the hip and thigh
S70261S,ICD10,1,Injuries to the hip and thigh
S70269D,ICD10,1,Injuries to the hip and thigh
S70272A,ICD10,1,Injuries to the hip and thigh
S70311D,ICD10,1,Injuries to the hip and thigh
S70319D,ICD10,1,Injuries to the hip and thigh
S70322D,ICD10,1,Injuries to the hip and thigh
S70351S,ICD10,1,Injuries to the hip and thigh
S70359A,ICD10,1,Injuries to the hip and thigh
S70361S,ICD10,1,Injuries to the hip and thigh
S70369D,ICD10,1,Injuries to the hip and thigh
S70912D,ICD10,1,Injuries to the hip and thigh
S70921D,ICD10,1,Injuries to the hip and thigh
S70922D,ICD10,1,Injuries to the hip and thigh
S70929A,ICD10,1,Injuries to the hip and thigh
S71011D,ICD10,1,Injuries to the hip and thigh
S71011S,ICD10,1,Injuries to the hip and thigh
S71022A,ICD10,1,Injuries to the hip and thigh
S71031A,ICD10,1,Injuries to the hip and thigh
S71032D,ICD10,1,Injuries to the hip and thigh
S71052A,ICD10,1,Injuries to the hip and thigh
S71052D,ICD10,1,Injuries to the hip and thigh
S711,ICD10,1,Injuries to the hip and thigh
S71109,ICD10,1,Injuries to the hip and thigh
S71109D,ICD10,1,Injuries to the hip and thigh
S71109S,ICD10,1,Injuries to the hip and thigh
S71111S,ICD10,1,Injuries to the hip and thigh
S71121D,ICD10,1,Injuries to the hip and thigh
S71131D,ICD10,1,Injuries to the hip and thigh
S71131S,ICD10,1,Injuries to the hip and thigh
S71141S,ICD10,1,Injuries to the hip and thigh
S71142A,ICD10,1,Injuries to the hip and thigh
S71142D,ICD10,1,Injuries to the hip and thigh
S71152S,ICD10,1,Injuries to the hip and thigh
S71159D,ICD10,1,Injuries to the hip and thigh
S72001F,ICD10,1,Injuries to the hip and thigh
S72001H,ICD10,1,Injuries to the hip and thigh
S72001J,ICD10,1,Injuries to the hip and thigh
S72002F,ICD10,1,Injuries to the hip and thigh
S72009G,ICD10,1,Injuries to the hip and thigh
S72009K,ICD10,1,Injuries to the hip and thigh
S72009R,ICD10,1,Injuries to the hip and thigh
S72011S,ICD10,1,Injuries to the hip and thigh
S72012E,ICD10,1,Injuries to the hip and thigh
S72012K,ICD10,1,Injuries to the hip and thigh
S72012P,ICD10,1,Injuries to the hip and thigh
S72022D,ICD10,1,Injuries to the hip and thigh
S72024D,ICD10,1,Injuries to the hip and thigh
S72024K,ICD10,1,Injuries to the hip and thigh
S72025A,ICD10,1,Injuries to the hip and thigh
S72031S,ICD10,1,Injuries to the hip and thigh
S72032G,ICD10,1,Injuries to the hip and thigh
S72032K,ICD10,1,Injuries to the hip and thigh
S72034A,ICD10,1,Injuries to the hip and thigh
S72041E,ICD10,1,Injuries to the hip and thigh
S72041P,ICD10,1,Injuries to the hip and thigh
S72042B,ICD10,1,Injuries to the hip and thigh
S72042S,ICD10,1,Injuries to the hip and thigh
S72046S,ICD10,1,Injuries to the hip and thigh
S72051B,ICD10,1,Injuries to the hip and thigh
S72051S,ICD10,1,Injuries to the hip and thigh
S72059A,ICD10,1,Injuries to the hip and thigh
S72059D,ICD10,1,Injuries to the hip and thigh
S72059J,ICD10,1,Injuries to the hip and thigh
S72064A,ICD10,1,Injuries to the hip and thigh
S72065A,ICD10,1,Injuries to the hip and thigh
S72091K,ICD10,1,Injuries to the hip and thigh
S72091S,ICD10,1,Injuries to the hip and thigh
S72092S,ICD10,1,Injuries to the hip and thigh
S72101K,ICD10,1,Injuries to the hip and thigh
S72102F,ICD10,1,Injuries to the hip and thigh
S72112B,ICD10,1,Injuries to the hip and thigh
S72112C,ICD10,1,Injuries to the hip and thigh
S72112G,ICD10,1,Injuries to the hip and thigh
S72112K,ICD10,1,Injuries to the hip and thigh
S72113D,ICD10,1,Injuries to the hip and thigh
S72114S,ICD10,1,Injuries to the hip and thigh
